"","observer","ageclass","sex","cohort","year","age","grid","trialnumber","trialdate","walk","jump","hole","hang","chew","groom","still","front","back","attack","attacklatency","approachlatency","squirrel_id","OFT1","OFT2"
"81","AKB","Y","M",2004,2005,1,"AG",1,2005-06-23,0.0498,0.0111111111111111,0.0155555555555556,0.2034,0,0.0111,0.6186,0,0,0,1,1,10649,-1.71438029308402,0.146120229791277
"82","AKB","Y","M",2004,2005,1,"AG",1,2005-06-23,0.1993,0.0311111111111111,0.0533333333333333,0.0914,0,0.0475,0.2449,0.1832,0.6938,0,1,1,7346,0.00281561333569225,-1.33909532462925
"83","AKB","Y","F",2004,2005,1,"AG",1,2005-06-23,0.07348,0.0466666666666667,0.00644444444444444,0.391,0,0.0101,0.4391,0,1,0,1,1,10171,-1.07980908826022,0.86587802856922
"84","AKB","A","M",2002,2005,3,"AG",1,2005-06-24,0.1946,0.0422222222222222,0.0245111111111111,0.1269,0.0746,0.0132,0.3475,0.552,0,0.0333333333333333,0.582233333333333,0.396566666666667,10749,-0.141976141471643,-0.146207730484002
"85","AKB","Y","M",2004,2005,1,"AG",1,2005-06-24,0.2579,0.168888888888889,0.0333333333333333,0.3236,0.0071,0.0119,0.0613,0.859,0.0383,0.00666666666666667,0.0522333333333333,0.0379,6918,1.58011006580285,0.029187696033114
"86","AKB","A","F",2003,2005,2,"AG",1,2005-06-25,0.1423,0.0444444444444444,0.0135555555555556,0.57002,0,0.0226,0.0334,0.5742,0.0374,0.03,0.2771,0.279533333333333,8153,-0.0210885462639613,1.12368701119263
"87","AKB","A","F",2002,2005,3,"AG",1,2005-06-25,0.0494,0.0266666666666667,0.0133333333333333,0.14952,0,0.0305,0.6408,0,1,0,1,1,7082,-1.69463411639684,-0.171159361241804
"88","AKB","Y","M",2004,2005,1,"AG",1,2005-06-25,0.0374,0.00666666666666667,0.0133333333333333,0.0203,0,0.0097,0.7827,0,1,0,1,1,6425,-2.13990266836475,-0.32269901258706
"89","AKB","Y","M",2004,2005,1,"KL",1,2005-06-26,0.1346,0.06,0.0555111111111111,0.2569,0.1566,0.0222,0.2583,0.6068,0.0075,0.00666666666666667,0.615333333333333,0.276233333333333,6511,0.525703516883936,-0.315650689110629
"90","AKB","A","M",2002,2005,3,"KL",1,2005-06-26,0.1332,0.0488888888888889,0.00888888888888889,0.7206,0,0.0317,0.009,0.2224,0.0301,0,1,0.253433333333333,6312,-0.0279690921258573,1.55394598203805
"91","AKB","Y","M",2004,2005,1,"KL",1,2005-06-26,0.0618,0.0244444444444444,0.00888888888888889,0.1889,0,0.047,0.4116,0,0.9885,0,1,1,7873,-1.3053710877804,-0.112248720297333
"92","AKB","A","F",2003,2005,2,"AG",1,2005-06-27,0.1685,0.0711111111111111,0.111,0.1615,0.0116,0.0262,0.1162,0.5099,0.019,0.0366666666666667,0.1501,0.100866666666667,6936,1.16503906801235,-2.08861144795377
"93","AKB","A","M",2003,2005,2,"AG",1,2005-06-27,0.3083,0.166666666666667,0.0133333333333333,0.3141,0.002,0.0131,0.0238,0.8266,0.0967,0.0333333333333333,0.0554666666666667,0.0501333333333333,7042,1.57609170247458,0.382249739850331
"94","AKB","J","M",2005,2005,0,"AG",1,2005-06-27,0.1285,0.155555555555556,0.0111111111111111,0.5252,0,0.0315,0.0877,0.9012,0.0341,0.0133333333333333,0.0121,0,6674,0.696335845243986,0.886399773302635
"95","AKB","J","F",2005,2005,0,"AG",1,2005-06-27,0.0721,0.00666666666666667,0.0111111111111111,0.0167,0,0.0384,0.6041,0,1,0,0.405233333333333,0.405233333333333,6317,-1.75684668981961,-0.571011469111095
"96","AKB","A","M",2003,2005,2,"AG",1,2005-06-28,0.1471,0.0555555555555556,0.0245111111111111,0.1824,0.0618,0.0172,0.316,0.7606,0.167,0.00333333333333333,0.217666666666667,0.129333333333333,6729,-0.174381017666577,-0.0477298962580111
"97","AKB","A","M",2002,2005,3,"AG",1,2005-06-28,0.106,0.0555555555555556,0.0245111111111111,0.2151,0,0.0459,0.355,0.8399,0.1186,0,1,0.1169,7161,-0.621134772406434,-0.376579761784075
"98","AKB","A","F",2003,2005,2,"AG",1,2005-07-02,0.17132,0.0533333333333333,0.0111111111111111,0.2151,0,0.0733,0.2074,0.1247,0.2838,0,1,0.383433333333333,7391,-0.327976395792224,-0.382649070363809
"99","AKB","A","M",2001,2005,4,"AG",1,2005-07-02,0.0936,0.0177777777777778,0.0111111111111111,0.0232,0,0.0226,0.5662,0.0102,0.202,0,1,0.790466666666667,6410,-1.48805131656332,-0.399397808255237
"100","AKB","A","F",2003,2005,2,"AG",1,2005-07-02,0.1464,0.04,0.029,0.14248,0.0299,0.0188,0.3964,0,0,0,1,1,6340,-0.509348120075065,-0.339037846540538
"101","AKB","A","M",2002,2005,3,"AG",1,2005-07-02,0.0407,0.00666666666666667,0.0111111111111111,0.1097,0,0.013,0.6911,0,1,0,1,1,6975,-1.9772928246746,-0.0486528133288901
"102","AKB","A","M",2003,2005,2,"AG",1,2005-07-03,0.0459,0.00888888888888889,0.0111111111111111,0,0.0362,0.0435,0.7974,NA,NA,NA,NA,NA,8734,-2.10767221847112,-0.608458943817515
"103","AKB","A","M",2001,2005,4,"KL",1,2005-07-03,0.0499,0.0244444444444444,0.00666666666666667,0.1341,0,0.099,0.5028,0.2118,0.1498,0.00333333333333333,0.915,0.00146666666666667,6523,-1.64967278767017,-0.762467671602911
"104","AKB","Y","F",2004,2005,1,"AG",1,2005-07-03,0.21972,0.0422222222222222,0.031,0.12122,0.0729,0.0152,0.081,0.0031,0.1609,0,1,0.0371,6624,0.517735510704227,-0.29582553744527
"105","AKB","A","M",2002,2005,3,"AG",1,2005-07-03,0.1998,0.0688888888888889,0.0778444444444445,0.1971,0.0102,0.0232,0.1386,0.5389,0.2767,0,1,0.238766666666667,8286,0.862279689074826,-1.28649424173049
"106","AKB","A","M",2003,2005,2,"AG",1,2005-07-03,0.06,0.02,0.00444444444444444,0.0257,0,0,0.8014,0,0,0,1,1,7093,-2.06448874520658,-0.0417735812539156
"107","AKB","Y","M",2004,2005,1,"AG",1,2005-07-03,0.1226,0.0644444444444444,0.0288444444444444,0.2068,0,0.0681,0.4037,0,1,0,1,1,7476,-0.583592888021179,-0.734570116896098
"108","AKB","Y","M",2004,2005,1,"KL",1,2005-07-04,0.0821,0.0133333333333333,0.00666666666666667,0.0633,0,0.0105,0.5895,0.0778,0.8699,0,1,0.0341333333333333,6434,-1.63012041354184,-0.0666441788277533
"109","AKB","Y","M",2004,2005,1,"KL",1,2005-07-05,0.1351,0.0511111111111111,0.0221777777777778,0.1487,0.2119,0.0341,0.2105,0.038,0.904,0,1,0.311533333333333,7935,0.324001207849153,0.078194048447476
"110","AKB","A","M",2002,2005,3,"KL",1,2005-07-05,0.0615,0.0533333333333333,0.0111111111111111,0.2266,0.0061,0.0348,0.5894,0,1,0,1,1,6343,-1.34535503677633,0.0470626957469988
"111","AKB","A","F",2003,2005,2,"AG",1,2005-07-09,0.20034,0.122222222222222,0.0245111111111111,0.22214,0.0251,0.0209,0.1557,0,0.8678,0,1,0.0211,6665,0.754028976858896,-0.0918941135647079
"112","AKB","A","M",2003,2005,2,"AG",1,2005-07-09,0.0591,0.0266666666666667,0.0177777777777778,0.1914,0,0.0068,0.6627,0.1388,0.0299,0,1,0.192,10088,-1.60864920914669,0.0925876423722674
"113","AKB","J","M",2005,2005,0,"AG",1,2005-07-09,0.2919,0.18,0.04,0.1974,0,0.0413,0.1077,0,1,0,1,1,7285,1.68385322835759,-0.805222080153537
"114","AKB","Y","F",2004,2005,1,"AG",1,2005-07-09,0.08574,0.0177777777777778,0.0555111111111111,0.00394,0,0.012,0.3036,0,1,0,1,1,10167,-0.517638719417235,-1.22783529140144
"115","AKB","Y","F",2004,2005,1,"KL",1,2005-07-10,0.2632,0.104444444444444,0.0335111111111111,0.2235,0.0771,0.0598,0.1536,0.0582,0.6042,0,1,0.576766666666667,7148,0.993843385914942,-0.570099396833765
"116","AKB","A","F",2002,2005,3,"SU",1,2005-07-11,0.38386,0.231111111111111,0.0133333333333333,0.20864,0,0.0411,0.0645,0.3344,0.4048,0.0633333333333333,0.423,0.318866666666667,6398,2.21871627572574,-0.275780942974219
"117","AKB","Y","F",2004,2005,1,"SU",1,2005-07-11,0.26852,0.113333333333333,0.0578444444444444,0.16274,0.1196,0.0223,0.0556,0.6463,0.0053,0.03,0.13,0.0102,8579,1.7242826286247,-0.761552120735552
"118","AKB","Y","F",2004,2005,1,"SU",1,2005-07-11,0.32862,0.0933333333333333,0.0333333333333333,0.3882,0,0.0167,0.0135,0.9836,0,0.0266666666666667,0.0215666666666667,0.00556666666666667,7135,1.26390384417776,0.175472894483238
"119","AKB","Y","F",2004,2005,1,"SU",1,2005-07-11,0.1205,0.0422222222222222,0.0421777777777778,0.09212,0,0.0128,0.5641,0.2393,0.1027,0.0233333333333333,0.0981333333333333,0.0548,7307,-0.840091954406633,-0.770458205387115
